name;averAge;healthCare;transport;climate;lambda;mi;population
St. Lucia;32.599998;4.54588681459427;2.23;Tropical;;;181889
St. Vincent and the Grenadines;29.799999;4.48712520301342;2.34;Tropical;;;110210
Sudan;18.9;6.34180754423141;2.18;Arid;;;41801533
Suriname;28.4;6.2297698110342;2.18;Tropical;;;575991
Sweden;40.900002;11.0187463462353;4.24;Temperate;;;10175214
Switzerland;42.200001;12.3463220894337;4.02;Temperate;;;8513227
Syria;20.200001;5.36663028299809;2.51;Mediterranean;;;16906283
Tajikistan;22.4;7.22881481051445;2.17;Continental;;;9100837
Tanzania;17.299999;3.6454513669014;2.15;Tropical;;;56318348
Thailand;37.799999;3.74601632356644;3.14;Tropical;;;69428524
Timor;17.4;3.88229340314865;2.73;Tropical;;;1267972
Togo;18.9;6.19951225817204;2.23;Tropical;;;7889094
Tonga;21.299999;5.26931136846542;1.5;Tropical;;;103197
Trinidad and Tobago;33.900002;6.97873532772064;2.38;Tropical;;;1389858
Tunisia;31.1;7.23245739936829;2.1;Temperate;;;11565204
Turkey;29.9;4.21630293130875;3.21;Temperate;;;82319724
Turkmenistan;25.6;6.93044811487198;2.23;Tropical;;;5850908
Uganda;15.8;6.18775598704815;2.19;Tropical;;;42723139
Ukraine;40.299999;6.99532032012939;2.22;Temperate;;;44622516
United Arab Emirates;33.400002;3.33428233861923;4.02;Tropical;;;9630959
United Kingdom;40.200001;9.63169410824776;4.03;Temperate;;;66460344
United States;37.599998;17.0612692832947;4.05;Temperate;;;326687501
Uruguay;34.900002;9.29621160030365;2.43;Temperate;;;3449299
Uzbekistan;26.299999;6.41438513994217;2.57;Arid;;;32955400
Vanuatu;22.200001;3.31685319542885;2.6;Tropical;;;292680
Venezuela;27.4;1.18121011182666;2.1;Tropical;;;28870195
Vietnam;30.4;5.53212836384773;3.01;Tropical;;;95540395
Yemen;19.200001;4.33206679320893;2.12;Temperate;;;28498687
Zambia;17.1;4.47034128010273;2.3;Tropical;;;17351822
Zimbabwe;19;6.63591623306274;1.83;Tropical;;;14439018
South Africa;26.1;8.11311826109886;3.19;Tropical;;;57779622
